,Jan Blachowicz,Unnamed: 1,Alex Pereira
0,0,Knockdowns,0
1,20 of 29,Significant Strikes,33 of 47
2,68%,Significant Strikes %,70%
3,50%,Takedown %,0%
4,0,Submissions Attempted,0
5,0,Reversals,0
