,Jan Blachowicz,Unnamed: 1,Alex Pereira
0,20 of 29,Significant Strikes,33 of 47
1,68%,Significant Strikes %,70%
2,15 of 21,Head,13 of 25
3,2 of 5,Body,10 of 11
4,3 of 3,Leg,10 of 11
5,16 of 24,Distance,28 of 41
6,2 of 3,Clinch,4 of 5
7,2 of 2,Ground,1 of 1
