,Jan Blachowicz,Unnamed: 1,Alex Pereira
0,0,Knockdowns,0
1,26 of 46,Significant Strikes,35 of 42
2,56%,Significant Strikes %,83%
3,33%,Takedown %,0%
4,0,Submissions Attempted,0
5,0,Reversals,0
