,Jan Blachowicz,Unnamed: 1,Alex Pereira
0,6 of 6,Significant Strikes,2 of 3
1,100%,Significant Strikes %,66%
2,6 of 6,Head,1 of 2
3,0 of 0,Body,0 of 0
4,0 of 0,Leg,1 of 1
5,1 of 1,Distance,1 of 2
6,0 of 0,Clinch,1 of 1
7,5 of 5,Ground,0 of 0
