,Jan Blachowicz,Unnamed: 1,Alex Pereira
0,52,Significant Strikes,70
1,64.20%,Significant Strikes %,76.09%
2,41 of 66,Head,26 of 46
3,4 of 8,Body,23 of 24
4,7 of 7,Leg,21 of 22
5,41 of 67,Distance,62 of 83
6,3 of 5,Clinch,7 of 8
7,8 of 9,Ground,1 of 1
