,Jan Blachowicz,Unnamed: 1,Alex Pereira
0,0,Knockdowns,0
1,52 of 81,Significant Strikes,70 of 92
2,81,Significant Strikes Attempted,92
3,64.20%,Significant Strikes %,76.09%
4,82,Total Strikes,112
5,117,Total Strikes Attempted,138
6,3 of 8,Takedowns,0 of 0
7,8,Takedowns Attempted,0
8,37.50%,Takedown %,0%
9,2,Submissions Attempted,1
10,0,Passes,0
11,0,Reversals,0
