,Jan Blachowicz,Unnamed: 1,Alex Pereira
0,0,Knockdowns,0
1,6 of 6,Significant Strikes,2 of 3
2,100%,Significant Strikes %,66%
3,33%,Takedown %,0%
4,2,Submissions Attempted,1
5,0,Reversals,0
